president,nationalism,legislation,2,3,4,peace,6,war,military,war and economics,10,international diplomacy,12,13,14,15,16,provision,18,19,20,21,22,basic needs,24
William-McKinley-1900,0.011037766,0.027161563,0.097933124,0.023157667,0.03343794,0.011362407,0.014933449,0.004490856,0.07932042,0.00091981387,0.018288064,0,0.017909317,0,0.0014067742,0.047668001,0.030407965,0,0.015474516,0,0,0.00021642679,0.049561736,0.0016773077,0.036251488
Theodore-Roosevelt-1901,0.028526971,0.033973029,0.010217842,0.017634855,0.031431535,0.028060166,0.05876556,0.0041493776,0.055653527,0,0.012914938,0.0002593361,0.058143154,0,0,0.012759336,0.034024896,0,0.060114108,0.0046161826,0,0.0023858921,0.019813278,0.0039937759,0.020539419
Theodore-Roosevelt-1902,0.032484544,0.039505397,0.014146495,0.018547627,0.029550456,0.021167348,0.065283454,0,0.062978099,0,0.017604527,0,0.045163995,0.00010478885,0,0.022634392,0.037828775,0,0.058472179,0,0,0.0004191554,0.01645185,0.00010478885,0.013936917
Theodore-Roosevelt-1903,0.015997793,0.028892567,0.068473314,0.0097917529,0.035098607,0.013722245,0.035995035,0,0.087298304,0.0013791201,0.0094469728,0,0.043787064,0.00068956006,0,0.041994208,0.027996138,0,0.035857123,0.00041373604,0,0,0.035719211,0,0.018962902
Theodore-Roosevelt-1904,0.02206614,0.039742464,0.010477027,0.015569213,0.034357624,0.021188177,0.062101258,0,0.060520925,0,0.01404741,0,0.048990342,0,0,0.021539362,0.033011414,0,0.054609306,0.0033362599,0.00076090138,0.0050921861,0.030962833,0.0088381621,0.017149546
Theodore-Roosevelt-1905,0.026521188,0.043602632,0.016305014,0.013730538,0.031343223,0.022475583,0.068570962,0,0.058886028,0,0.012831515,0.000040864697,0.049364554,0,0,0.025090924,0.039352703,0,0.054145724,0.0039230109,0,0.0013076703,0.017980467,0.0044951167,0.012831515
Theodore-Roosevelt-1906,0.031133304,0.061137647,0.014502822,0.0066869301,0.038645245,0.023100304,0.07273122,0.003690838,0.042205818,0,0.0049066435,0,0.059791576,0,0,0.016413374,0.039166305,0,0.037082067,0.0075553626,0.0042553191,0.00095527573,0.023056882,0.0037776813,0.014459401
Theodore-Roosevelt-1907,0.024718175,0.057600839,0.010561402,0.019587281,0.034605445,0.01954983,0.076813602,0,0.059698139,0.00089884274,0.0065166099,0.00048687315,0.034830156,0.00037451781,0,0.031010075,0.041084604,0.00044942137,0.029174937,0.003932437,0.000074903562,0,0.030148684,0.0042320512,0.017265271
Theodore-Roosevelt-1908,0.026979937,0.050052798,0.0062302006,0.014202746,0.040179514,0.023178458,0.095564942,0.0026399155,0.048838437,0.00042238648,0.0088701162,0.0013199578,0.040760296,0,0,0.024128828,0.036378036,0.00005279831,0.034266103,0.0044350581,0.0019535375,0.0013199578,0.021858501,0.0051742344,0.014149947
William-Howard-Taft-1909,0.0037898491,0.030467415,0.051200119,0.029947239,0.02422531,0.010254886,0.010477818,0.000074310768,0.092071041,0.0011146615,0.024448243,0,0.018652003,0,0,0.095043472,0.025711526,0,0.0063164152,0.0015605261,0,0,0.055733076,0,0.025562904
William-Howard-Taft-1910,0.010893328,0.022276668,0.029626838,0.026234452,0.023181304,0.007010931,0.025103656,0,0.096871466,0.0023746702,0.024048247,0,0.018130418,0,0.000037693178,0.10569167,0.021070486,0,0.0087448172,0,0,0,0.06215605,0.0021108179,0.023068225
William-Howard-Taft-1911,0.0096926301,0.032396088,0.071777855,0.02379497,0.024799162,0.01493189,0.018686692,0,0.091861684,0,0.020651415,0.00091687042,0.014407964,0.00026196298,0.000043660496,0.085836535,0.027724415,0.00017464198,0.0098672721,0.00061124694,0,0,0.045232274,0,0.018948655
William-Howard-Taft-1912,0.012029396,0.028410724,0.051935788,0.02438724,0.040481176,0.016217104,0.020363756,0.0023401897,0.073859671,0,0.029026563,0.00012316788,0.012973683,0,0,0.083589933,0.029847682,0,0.01005871,0.0015190705,0.00016422384,0.0023401897,0.049677711,0.0033255327,0.02266289
Woodrow-Wilson-1913,0.045755396,0.0097841727,0.02705036,0.018992806,0.032230216,0.068489209,0.023884892,0.00086330935,0.021007194,0.00086330935,0.022733813,0.0089208633,0.031942446,0,0,0.027625899,0.049496403,0,0.030791367,0.00028776978,0,0,0.01294964,0,0.039136691
Woodrow-Wilson-1914,0.063753098,0.012615454,0.010813246,0.006082451,0.019599009,0.077269655,0.028159495,0.0087857626,0.020274837,0.00067582789,0.010137418,0,0.014868214,0,0,0.011939626,0.053615679,0.0038296914,0.045956296,0,0.01284073,0,0.0022527596,0.0018022077,0.039873845
Woodrow-Wilson-1915,0.055067837,0.0089119447,0.0091779729,0.016892791,0.018888002,0.06358074,0.016759777,0.014232509,0.033918595,0.0077148178,0.014365523,0,0.013434424,0,0.0075818037,0.026336792,0.049481245,0,0.069300346,0,0.0037243948,0,0.011306198,0,0.045357808
Woodrow-Wilson-1916,0.011588605,0.0053114437,0.018348624,0.026557219,0.025591502,0.033800097,0.055045872,0.0014485756,0.043940126,0,0.0057943023,0,0.028971511,0,0,0.047320135,0.087397393,0.00096571704,0.016900048,0,0.0014485756,0.00048285852,0.020280058,0,0.064220183
Woodrow-Wilson-1917,0.041156551,0.0033862985,0.016150039,0.006772597,0.022922636,0.088043761,0.030216202,0.05496223,0.0013024225,0.003125814,0.01041938,0,0.039854129,0,0.0002604845,0.0013024225,0.036728315,0,0.040114613,0,0.0013024225,0,0.007814535,0.000520969,0.056004168
Woodrow-Wilson-1918,0.050149701,0.015344311,0.017776946,0.014221557,0.023577844,0.052582335,0.032185629,0.023577844,0.012537425,0.0095434132,0.023016467,0,0.017028443,0,0.0003742515,0,0.065868263,0,0.033121257,0.0013098802,0,0,0.024139222,0,0.058008982
Woodrow-Wilson-1919,0.022976165,0.007515568,0.012883831,0.052823706,0.028559158,0.041442989,0.032209577,0.0038651492,0.0032209577,0.0047240713,0.03779257,0.0030062272,0.02512347,0.00021473051,0.00085892205,0.027485506,0.074940949,0,0.034786343,0.0025767662,0.010521795,0,0.024264548,0.0070861069,0.043160833
Woodrow-Wilson-1920,0.026255708,0.002283105,0.015601218,0.046042618,0.032343988,0.04870624,0.019406393,0.020547945,0.014840183,0.031582953,0.03500761,0,0.01978691,0,0,0.034627093,0.073059361,0,0.023972603,0.0003805175,0,0,0.017884323,0,0.023592085
Warren-G-Harding-1921,0.027645551,0.0047601611,0.016660564,0.067008422,0.024899304,0.040278286,0.03698279,0.004577078,0.019406811,0.0087879897,0.036799707,0.0025631637,0.02288539,0.001464665,0,0.038264372,0.092273892,0,0.0082387404,0.00018308312,0,0,0.020688393,0.0098864885,0.031856463
Warren-G-Harding-1922,0.027017419,0.0040881621,0.014575187,0.056878777,0.025950942,0.036971205,0.045680768,0.0088873089,0.020796303,0.0072875933,0.036615713,0,0.033060789,0.01208674,0,0.042481337,0.091717028,0,0.0031994312,0.0058656239,0.0014219694,0,0.010487025,0.01581941,0.031816566
Calvin-Coolidge-1923,0.012413793,0.0044444444,0.0072030651,0.099923372,0.031264368,0.025900383,0.036628352,0,0.028965517,0.005210728,0.051034483,0,0.011340996,0.00045977011,0,0.05532567,0.074636015,0.00061302682,0.0096551724,0,0.0036781609,0.0010727969,0.029272031,0.0038314176,0.016091954
Calvin-Coolidge-1924,0.010358094,0.0068067476,0.0022195916,0.086416099,0.029594555,0.023083753,0.027670909,0.0029594555,0.034329683,0.0047351287,0.064812075,0,0.0094702575,0,0.0025155371,0.061408701,0.060520864,0.0010358094,0.0071026931,0,0,0,0.023823616,0.013169577,0.027522936
Calvin-Coolidge-1925,0.014089835,0.0066193853,0.0052009456,0.084349882,0.033191489,0.026288416,0.032907801,0.003498818,0.045106383,0.0026477541,0.045957447,0.000094562648,0.0080378251,0.000094562648,0.001891253,0.051631206,0.065815603,0.00085106383,0.008321513,0.0017021277,0.00028368794,0.0023640662,0.031111111,0.0074704492,0.024586288
Calvin-Coolidge-1926,0.01340134,0.0095009501,0.010001,0.10631063,0.03120312,0.02290229,0.03420342,0.00110011,0.04480448,0.0063006301,0.03890389,0,0.01060106,0,0,0.04920492,0.056405641,0,0.0092009201,0,0,0.00360036,0.02720272,0.0086008601,0.02590259
Calvin-Coolidge-1927,0.013835151,0.0079727987,0.0057451049,0.10575683,0.037284559,0.018876773,0.030718724,0,0.054402626,0.011372963,0.045374604,0,0.005979599,0,0,0.04080197,0.051823191,0,0.015593856,0.0014069645,0,0,0.041388205,0.010434987,0.020049244
