Topic,TokenCount,Words
nationalism,21806,"country national good take your never his come before life"
legislation,12014,"such work upon far national legislation laws effect against result"
2,11634,"states united american treaty upon republic trade governments had powers"
3,24892,"government federal about national legislation further agriculture public country large"
4,24507,"over each power while states use control under development already"
peace,29309,"nation peace very way believe even into part hope right"
6,17440,"any men public business law government both interstate country corporations"
war,13066,"war nations free freedom against united defense men forces europe"
military,23702,"made under united service into army officers general navy two"
war and economics,10905,"war dollars expenditures fiscal million program billion united during business"
10,34237,"states policy work made through increase economy private system foreign"
international diplomacy,18594,"energy administration continue legislation rights international reform support nuclear proposed"
12,13613,"his possible just well certain american where nation among rights"
13,25692,"federal programs act program million billion help local percent education"
14,14761,"economic soviet nations efforts security past countries human major oil"
15,18649,"foreign commission between court american per international tariff country public"
16,23802,"upon such some action may conditions labor industrial nations before"
provision,15662,"work children know tonight it's help together care we've ask"
18,11066,"any matter labor right man done ships attention conditions kind"
19,13509,"american tax down freedom again americans schools growth keep social"
20,15428,"america government americans let about crime jobs budget just america's"
21,16615,"program effort problems military meet strength united security important growth"
22,18734,"government department law important state within administration three respect during"
basic needs,18752,"american system resources health better needs proposals achieve benefits water"
24,19724,"shall were out present may had military purpose give greater"
