id,date,text
1840-Democratic-Martin-Van-Buren,1840,"1. Resolved, That the federal government is one of limited powers, derived solely from the constitution, and the grants of power shown therein, ought to be strictly construed by all the departments and agents of the government, and that it is inexpedient and dangerous to exercise doubtful constitutional powers. 2. Resolved, That the constitution does not confer upon the general government the power to commence and carry on, a general system of internal improvements. 3. Resolved, That the constitution does not confer authority upon the federal government, directly or indirectly, to assume the debts of the several states, contracted for local internal improvements, or other state purposes; nor would such assumption be just or expedient. 4. Resolved, That justice and sound policy forbid the federal government to foster one branch of industry to the detriment of another, or to cherish the interests of one portion to the injury of another portion of our common country—that every citizen and every section of the country, has a right to demand and insist upon an equality of rights and privileges, and to complete and ample protection of person and property from domestic violence, or foreign aggression. 5. Resolved, That it is the duty of every branch of the government, to enforce and practice the most rigid economy, in conducting our public affairs, and that no more revenue ought to be raised, than is required to defray the necessary expenses of the government. 6. Resolved, That congress has no power to charter a national bank; that we believe such an institution one of deadly hostility to the best interests of the country, dangerous to our republican institutions and the liberties of the people, and calculated to place the business of the country within the control of a concentrated money power, and above the laws and the will of the people. 7. Resolved, That congress has no power, under the constitution, to interfere with or control the domestic institutions of the several states, and that such states are the sole and proper judges of everything appertaining to their own affairs, not prohibited by the constitution; that all efforts by abolitionists or others, made to induce congress to interfere with questions of slavery, or to take incipient steps in relation thereto, are calculated to lead to the most alarming and dangerous consequences, and that all such efforts have an inevitable tendency to diminish the happiness of the people, and endanger the stability and permanency of the union, and ought not to be countenanced by any friend to our political institutions. 8. Resolved, That the separation of the moneys of the government from banking institutions, is indispensable for the safety of the funds of the government, and the rights of the people. 9. Resolved, That the liberal principles embodied by Jefferson in the Declaration of Independence, and sanctioned in the constitution, which makes ours the land of liberty, and the asylum of the oppressed of every nation, have ever been cardinal principles in the democratic faith; and every attempt to abridge the present privilege of becoming citizens, and the owners of soil among us, ought to be resisted with the same spirit which swept the alien and sedition laws from our statute-book."
1844-Democratic-James-K-Polk,1844,"1. Resolved, That the American Democracy place their trust, not in factitious symbols, not in displays and appeals insulting to the judgment and subversive of the intellect of the people, but in a clear reliance upon the intelligence, patriotism, and the discriminating justice of the American masses. Resolved, That we regard this as a distinctive feature of our political creed, which we are proud to maintain before the world, as the great moral element in a form of government springing from and upheld by the popular will; and we contrast it with the creed and practice of Federalism, under whatever name or form, which seeks to palsy the will of the constituent, and which conceives no imposture too monstrous for the popular credulity. Resolved, therefore, That, entertaining these views, the Democratic party of this Union, through their delegates assembled in general convention of the States, coming together in a spirit of concord, of devotion to the doctrines and faith of a free representative government, and appealing to their fellow-citizens for the rectitude of their intentions, renew and reassert before the American people the declaration of principles avowed by them on a former occasion, when in general convention, they presented their candidates for the popular suffrages. 1. That the Federal Government is one of limited powers, derived solely from the Constitution, and the grants of power shown therein ought to be strictly construed by all the departments and agents of the government, and that it is inexpedient and dangerous to exercise doubtful constitutional powers. 2. That the Constitution does not confer upon the General Government the power to commence or carry on a general system of internal improvements. 3. That the Constitution does not confer authority upon the Federal Government, directly or indirectly, to assume the debts of the several States, contracted for local internal improvements or other State purposes; nor would such assumption be just or expedient. 4. That justice and sound policy forbid the Federal Government to foster one branch of industry to the detriment of another, or to cherish the interests of one portion to the injury of another portion of our common country—that every citizen and every section of the country has a right to demand and insist upon an equality of rights and privileges, and to complete and ample protection of person and property from domestic violence or foreign aggression. 5. That it is the duty of every branch of the government to enforce and practice the most rigid economy in conducting our public affairs, and that no more revenue ought to be raised than is required to defray the necessary expenses of the government. 6. That Congress has no power to charter a United States Bank, that we believe such an institution one of deadly hostility to the best interests of the country, dangerous to our republican institutions and the liberties of the people, and calculated to place the business of the country within the control of a concentrated money power, and above the laws and the will of the people. 7. That Congress has no power, under the Constitution, to interfere with or control the domestic institutions of the several States; and that such States are the sole and proper judges of everything pertaining to their own affairs, not prohibited by the Constitution; that all efforts, by abolitionists or others, made to induce Congress to interfere with questions of slavery, or to take incipient steps in relation thereto, are calculated to lead to the most alarming and dangerous consequences, and that all such efforts have an inevitable tendency to diminish the happiness of the people and endanger the stability and permanency of the Union, and ought not to be countenanced by any friend to our Political Institutions. 8. That the separation of the money of the government from banking institutions is indispensable for the safety of the funds of the government and the rights of the people. 9. That the liberal principles embodied by Jefferson in the Declaration of Independence, and sanctioned in the Constitution, which makes ours the land of liberty and the asylum of the oppressed of every nation, have ever been cardinal principles in the Democratic faith; and every attempt to abridge the present privilege of becoming citizens, and the owners of soil among us, ought to be resisted with the same spirit which swept the alien and sedition laws from our statute book. Resolved, That the proceeds of the Public Lands ought to be sacredly applied to the national objects specified in the Constitution, and that we are opposed to the laws lately adopted, and to any law for the Distribution of such proceeds among the States, as alike inexpedient in policy and repugnant to the Constitution. Resolved, That we are decidedly opposed to taking from the President the qualified veto power by which he is enabled, under restrictions and responsibilities amply sufficient to guard the public interest, to suspend the passage of a bill, whose merits cannot secure the approval of two-thirds of the Senate and House of Representatives, until the judgment of the people can be obtained thereon, and which has thrice saved the American People from the corrupt and tyrannical domination of the Bank of the United States. Resolved, That our title to the whole of the Territory of Oregon is clear and unquestionable; that no portion of the same ought to be ceded to England or any other power, and that the reoccupation of Oregon and the re-annexation of Texas at the earliest practicable period are great American measures, which this Convention recommends to the cordial support of the Democracy of the Union."
1848-Democratic-Lewis-Cass,1848,"Resolved, That the American Democracy place their trust in the intelligence, the patriotism, and the discriminating justice of the American people. Resolved, That we regard this as a distinctive feature of our political creed, which we are proud to maintain before the world as the great moral element in a form of government springing from and upheld by the popular will; and we contrast it with the creed and practice of Federalism, under whatever name or form, which seeks to palsy the will of the constituent, and which conceives no imposture too monstrous for the popular credulity. Resolved, therefore, That, entertaining these views, the Democratic party of this Union, through their Delegates assembled in general convention of the States, coming together in a spirit of concord, of devotion to the doctrines and faith of a free representative government, and appealing to their fellow-citizens for the rectitude of their intentions, renew and reassert before the American people the declaration of principles avowed by them when, on a former occasion, in general convention, they presented their candidates for the popular suffrage. 1. That the Federal Government is one of limited powers, derived solely from the Constitution; and the grants of power shown therein ought to be strictly construed by all the departments and agents of the Government; and that it is inexpedient and dangerous to exercise doubtful constitutional powers. 2. That the Constitution does not confer upon the General Government the power to commence and carry on a general system of internal improvements. 3. That the Constitution does not confer authority upon the Federal Government, directly or indirectly, to assume the debts of the several States, contracted for local internal improvements, or other State purposes; nor would such assumption be just and expedient. 4. That justice and sound policy forbid the Federal Government to foster one branch of industry to the detriment of another, or to cherish the interests of one portion to the injury of another portion of our common country; that every citizen, and every section of the country, has a right to demand and insist upon an equality of rights and privileges, and to complete and ample protection of persons and property from domestic violence or foreign aggression. 5. That it is the duty of every branch of the Government to enforce and practice the most rigid economy in conducting our public affairs, and that no more revenue ought to be raised than is required to defray the necessary expenses of the Government, and for the gradual but certain extinction of the debt created by the prosecution of a just and necessary war, after peaceful relations shall have been restored. 6. That Congress has no power to charter a national bank; that we believe such an institution one of deadly hostility to the best interests of the country, dangerous to our republican institutions and the liberties of the people, and calculated to place the business of the country within the control of a concentrated money power, and above the laws and the will of the people; and that the results of Democratic legislation, in this and all other financial measures upon which issues have been made between the two political parties of the country, have demonstrated to candid and practical men of all parties, their soundness, safety, and utility in all business pursuits. 7. That Congress has no power under the Constitution to interfere with or control the domestic institutions of the several States, and that such States are the sole and proper judges of everything appertaining to their own affairs, not prohibited by the Constitution; that all efforts of the Abolitionists or others made to induce Congress to interfere with questions of slavery, or to take incipient steps in relation thereto, are calculated to lead to the most alarming and dangerous consequences; and that all such efforts have an inevitable tendency to diminish the happiness of the people, and endanger the stability and permanence of the Union, and ought not to be countenanced by any friend to our political institutions. 8. That the separation of the moneys of the Government from banking institutions is indispensable for the safety of the funds of the Government and the rights of the people. 9. That the liberal principles embodied by Jefferson in the Declaration of Independence, and sanctioned in the Constitution, which makes ours the land of liberty, and the asylum of the oppressed of every nation, have ever been cardinal principles in the Democratic faith, and every attempt to abridge the present privilege of becoming citizens and the owners of soil among us, ought to be resisted with the same spirit which swept the alien and sedition laws from our statute book. Resolved, That the proceeds of the public lands ought to be sacredly applied to the national object specified in the Constitution; and that we are opposed to any law for the distribution of such proceeds among the States, as alike inexpedient in policy and repugnant to the Constitution. Resolved, That we are decidedly opposed to taking from the President the qualified veto power, by which he is enabled, under restrictions and responsibilities amply sufficient to guard the public interests, to suspend the passage of a bill whose merits cannot secure the approval of two-thirds of the Senate and House of Representatives, until the judgment of the people can be obtained thereon, and which has saved the American people from the corrupt and tyrannical domination of the Bank of the United States, and from a corrupting system of general internal improvements. Resolved, That the war with Mexico, provoked on her part by years of insult and injury, was commenced by her army crossing the Rio Grande, attacking the American troops, and invading our sister State of Texas; and that, upon all the principles of patriotism and laws of nations, it is a just and necessary war on our part, in which every American citizen should have shown himself on the side of his country, and neither morally nor physically, by word or by deed, have given ""aid and comfort to the enemy."" Resolved, That we would be rejoiced at the assurance of peace with Mexico founded on the just principles of indemnity for the past and security for the future; but that, while the ratification of the liberal treaty offered to Mexico remains in doubt, it is the duty of the country to sustain the administration in every measure necessary to provide for the vigorous prosecution of the war, should that treaty be rejected. Resolved, That the officers and soldiers who have carried the arms of their country into Mexico, have crowned it with imperishable glory. Their unconquerable courage, their daring enterprise, their unfaltering perseverance and fortitude when assailed on all sides by innumerable foes, and that more formidable enemy, the diseases of the climate, exalt their devoted patriotism into the highest heroism, and give them a right to the profound gratitude of their country, and the admiration of the world. Resolved, That the Democratic National Convention of the thirty States composing the American Republic, tender their fraternal congratulations to the National Convention of the Republic of France, now assembled as the free-suffrage representatives of the sovereignty of thirty-five millions of republicans, to establish government on those eternal principles of equal rights for which their Lafayette and our Washington fought side by side in the struggle for our own national independence; and we would especially convey to them, and to the whole people of France, our earnest wishes for the consolidation of their liberties, through the wisdom that shall guide their counsels, on the basis of a democratic constitution, not derived from grants or concessions of kings or parliaments, but originating from the only true source of political power recognized in the States of this Union, the inherent and inalienable right of the people, in their sovereign capacity, to make and to amend their forms of government in such manner as the welfare of the community may require. Resolved, That in view of the recent development of the grand political truth, of the sovereignty of the people, and their capacity and power for self-government, which is prostrating thrones and erecting republics on the ruins of despotism in the Old World, we feel that a high and sacred duty is devolved, with increased responsibility, upon the Democratic party of this country, as the party of the people, to sustain and advance among us constitutional ""liberty, equality, and fraternity,"" by continuing to resist all monopolies and exclusive legislation for the benefit of the few at the expense of the many, and by a vigilant and constant adherence to those principles and compromises of the Constitution which are broad enough and strong enough to embrace and uphold the Union as it was, the Union as it is, and the Union as it shall be, in the full expansion of the energies and capacity of this great and progressive people. Voted, That a copy of these resolutions be forwarded, through the American Minister at Paris, to the National Convention of the Republic of France. Resolved, That the fruits of the great political triumph of 1844, which elected James K. Polk and George M. Dallas President and Vice-President of the United States, have fulfilled the hopes of the Democracy of the Union—in defeating the declared purposes of their opponents to create a national bank; in preventing the corrupt and unconstitutional distribution of the land proceeds, from the common treasury of the Union, for local purposes; in protecting the currency and the labor of the country from ruinous fluctuations, and guarding the money of the people for the use of the people, by the establishment of the constitutional treasury; in the noble impulse given to the cause of free trade, by the repeal of the tariff in 1842 and the creation of the more equal, honest, and productive tariff of 1846; and that, in our opinion, it would be a fatal error to weaken the bands of political organization by which these great reforms have been achieved, and risk them in the hands of their known adversaries, with whatever delusive appeals they may solicit our surrender of that vigilance, which is the only safeguard of liberty. Resolved, That the confidence of the Democracy of the Union in the principles, capacity, firmness, and integrity of James K. Polk, manifested by his nomination and election in 1844, has been signally justified by the strictness of his adherence to sound Democratic doctrines, by the purity of purpose, the energy and ability which have characterized his administration in all our affairs at home and abroad; that we tender to him our cordial congratulations upon the brilliant success which has hitherto crowned his patriotic efforts, and assure him, that at the expiration of his Presidential term, he will carry with him to his retirement the esteem, respect, and admiration of a grateful country. Resolved, That this Convention hereby present to the people of the United States, Lewis Cass, of Michigan, as the candidate of the Democratic party for the office of President, and William O. Butler, of Kentucky, as the candidate of the Democratic party for the office of Vice-President of the United States."
1852-Democratic-Franklin-Pierce,1852,"Resolved, That the American democracy place their trust in the intelligence, the patriotism, and the discriminating justice of the American people. Resolved, That we regard this as a distinctive feature of our political creed, which we are proud to maintain before the world as the great moral element in a form of government springing from and upheld by the popular will; and we contrast it with the creed and practice of federalism, under whatever name or form, which seeks to palsy the will of the constituent, and which conceives no imposture too monstrous for the popular credulity. Resolved, therefore, That, entertaining these views, the democratic party of this Union, through their delegates assembled in a general convention, coming together in a spirit of concord, of devotion to the doctrines and faith of a free representative government, and appealing to their fellow-citizens for the rectitude of their intentions, renew and reassert before the American people the declaration of principles avowed by them when on former occasions, in general convention, they have presented their candidates for the popular suffrages. 1. That the federal government is one of limited powers, derived solely from the constitution, and the grants of power made therein ought to be strictly construed by all the departments and agents of the government; and that it is inexpedient and dangerous to exercise doubtful constitutional powers. 2. That the constitution does not confer upon the general government the power to commence and carry on a general system of internal improvements. 3. That the constitution does not confer authority upon the federal government, directly or indirectly, to assume the debts of the several States, contracted for local and internal improvements or other State purposes; nor would such assumption be just or expedient. 4. That justice and sound policy forbid the federal government to foster one branch of industry to the detriment of any other, or to cherish the interests of one portion to the injury of another portion of our common country; that every citizen, and every section of the country, has a right to demand and insist upon an equality of rights and privileges, and to complete an ample protection of person and property from domestic violence or foreign aggression. 5. That it is the duty of every branch of the government to enforce and practice the most rigid economy in conducting our public affairs, and that no more revenue ought to be raised than is required to defray the necessary expenses of the government, and for the gradual but certain extinction of the public debt. 6. That Congress has no power to charter a national bank; that we believe such an institution one of deadly hostility to the best interests of the country, dangerous to our republican institutions and the liberties of the people, and calculated to place the business of the country within the control of a concentrated money power, and above the laws and the will of the people; and that the results of democratic legislation in this and all other financial measures upon which issues have been made between the two political parties of the country, have demonstrated, to candid and practical men of all parties, their soundness safety, and utility in all business pursuits. 7. That the separation of the moneys of the government from banking institutions is indispensable for the safety of the funds of the government and the rights of the people. 8. That the liberal principles embodied by Jefferson in the Declaration of Independence, and sanctioned in the constitution, which make ours the land of liberty and the asylum of the oppressed of every nation, have ever been cardinal principles in the democratic faith; and every attempt to abridge the privilege of becoming citizens and the owners of the soil among us ought to be resisted with the same spirit that swept the alien and sedition laws from our statute-books. 9. That Congress has no power under the constitution to interfere with or control the domestic institutions of the several States, and that such States are the sole and proper judges of everything appertaining to their own affairs not prohibited by the constitution; that all efforts of the abolitionists or others made to induce Congress to interfere with questions of slavery, or to take incipient steps in relation thereto, are calculated to lead to the most alarming and dangerous consequences; and that all such efforts have an inevitable tendency to diminish the happiness of the people and endanger the stability and permanency of the Union, and ought not to be countenanced by any friend of our political institutions. Resolved, That the foregoing proposition covers, and was intended to embrace, the whole subject of slavery agitation in Congress; and therefore the democratic party of the Union, standing on this national platform, will abide by and adhere to a faithful execution of the acts known as the compromise measures settled by the last Congress—""the act for reclaiming fugitives from service or labor"" included; which act, being designed to carry out an express provision of the constitution, cannot, with fidelity thereto be repealed nor so changed as to destroy or impair its efficiency. Resolved, That the democratic party will resist all attempts at renewing, in congress or out of it, the agitation of the slavery question, under whatever shape or color the attempt may be made. Resolved, That the proceeds of the public lands ought to be sacredly applied to the national object specified in the Constitution; and that we are opposed to any law for the distribution of such proceeds among the states as, alike inexpedient in policy and repugnant to the constitution. Resolved, That we are decidedly opposed to taking from the President the qualified veto power, by which he is enabled, under restrictions and responsibilities amply sufficient to guard the public interests, to suspend the passage of a bill whose merits cannot secure the approval of two-thirds of the Senate and House of Representatives, until the judgment of the people can be obtained thereon, and which has saved the American people from the corrupt and tyrannical domination of the Bank of the United States, and from a corrupting system of general internal improvements. Resolved, That the democratic party will faithfully abide by and uphold the principles laid down in the Kentucky and Virginia resolutions of 1798, and in the report of Mr. Madison to the Virginia legislature in 1799; that it adopts those principles as constituting one of the main foundations of its political creed, and is resolved to carry them out in their obvious meaning and import. Resolved, That the war with Mexico, upon all the principles of patriotism and the laws of nations was a just and necessary war on our part, in which every American citizen should have shown himself on the side of his country, and neither morally nor physically, by word or deed, have given ""aid and comfort to the enemy."" Resolved, That we rejoice at the restoration of friendly relations with our sister republic of Mexico, and earnestly desire for her all the blessings and prosperity which we enjoy under republican institutions; and we congratulate the American people on the results of that war, which have so manifestly justified the policy and conduct of the democratic party, and insured to the United States, ""indemnity for the past and security for the future."" Resolved, That, in view of the condition of popular institutions in the Old World, a high and sacred duty is devolved, with increased responsibility upon the democratic party of this country, as the party of the people, to uphold and maintain the rights of every State, and thereby the Union of the States, and to sustain and advance among us constitutional liberty, by continuing to resist all monopolies and exclusive legislation for the benefit of the few at the expense of the many, and by a vigilant and constant adherence to those principles and compromises of the constitution, which are broad enough and strong enough to embrace and uphold the Union as it was, the Union as it is, and the Union as it shall be, in the full expansion of the energies and capacity of this great and progressive people."
1856-Democratic-James-Buchanan,1856,"Resolved, That the American Democracy place their trust in the intelligence, the patriotism, and the discriminating justice of the American people. Â Resolved, That we regard this as a distinctive feature of our political creed, which we are proud to maintain before the world, as the great moral element in a form of government springing from and upheld by the popular will; and we contrast it with the creed and practice of Federalism, under whatever name or form, which seeks to palsy the will of the constituent, and which conceives no imposture too monstrous for the popular credulity. Â Resolved, therefore, That, entertaining these views, the Democratic party of this Union, through their Delegates assembled in a general Convention, coming together in a spirit of concord, of devotion to the doctrines and faith of a free representative government, and appealing to their fellow-citizens for the rectitude of their intentions, renew and re-assert before the American people, the declarations of principles avowed by them when, on former occasions in general Convention, they have presented their candidates for the popular suffrage. 1. That the Federal Government is one of limited power, derived solely from the Constitution; and the grants of power made therein ought to be strictly construed by all the departments and agents of the government; and that it is inexpedient and dangerous to exercise doubtful constitutional powers. 2. That the Constitution does not confer upon the General Government the power to commence and carry on a general system of internal improvements. 3. That the Constitution does not confer authority upon the Federal Government, directly or indirectly, to assume the debts of the several States, contracted for local and internal improvements, or other State purposes; nor would such assumption be just or expedient. 4. That justice and sound policy forbid the Federal Government to foster one branch of industry to the detriment of any other, or to cherish the interests of one portion to the injury of another portion of our common country; that every citizen and every section of the country has a right to demand and insist upon an equality of rights and privileges, and to complete and ample protection of persons and property from domestic violence or foreign aggression. 5. That it is the duty of every branch of the Government to enforce and practice the most rigid economy in conducting our public affairs, and that no more revenue ought to be raised than is required to defray the necessary expenses of the Government, and for the gradual but certain extinction of the public debt. 6. That the proceeds of the public lands ought to be sacredly applied to the national objects specified in the Constitution; and that we are opposed to any law for the distribution of such proceeds among the States, as alike inexpedient in policy and repugnant to the Constitution. 7. That Congress has no power to charter a national bank; that we believe such an institution one of deadly hostility to the best interests of the country, dangerous to our republican institutions and the liberties of the people, and calculated to place the business of the country within the control of a concentrated money power, and above the laws and the will of the people; and that the results of Democratic legislation in this and all other financial measures upon which issues have been made between the two political parties of the country, have demonstrated to candid and practical men of all parties, their soundness, safety, and utility, in all business pursuits. 8. That the separation of the moneys of the Government from banking institutions is indispensable for the safety of the funds of the Government and the rights of the people. 9. That we are decidedly opposed to taking from the President the qualified veto power, by which he is enabled, under restrictions and responsibilities amply sufficient to guard the public interests, to suspend the passage of a bill whose merits cannot secure the approval of two-thirds of the Senate and House of Representatives, until the judgment of the people can be obtained thereon, and which has saved the American people from the corrupt and tyrannical domination of the Bank of the United States, and from a corrupting system of general internal improvements. 10. That the liberal principles embodied by Jefferson in the Declaration of Independence, and sanctioned by the Constitution, which makes ours the land of liberty and the asylum of the oppressed of every nation, have ever been cardinal principles in the Democratic faith, and every attempt to abridge the privilege of becoming citizens and the owners of soil among us, ought to be resisted with the same spirit which swept the alien and sedition laws from our statute-books. And Whereas, Since the foregoing declaration was uniformly adopted by our predecessors in National Conventions, an adverse political and religious test has been secretly organized by a party claiming to be exclusively American, it is proper that the American Democracy should clearly define its relation thereto, and declare its determined opposition to all secret political societies, by whatever name they may be called Â Resolved, That the foundation of this union of States having been laid in, and its prosperity, expansion, and pre-eminent example in free government, built upon entire freedom in matters of religious concernment, and no respect of person in regard to rank or place of birth; no party can justly be deemed national, constitutional, or in accordance with American principles, which bases its exclusive organization upon religious opinions and accidental birth-place. And hence a political crusade in the nineteenth century, and in the United States of America, against Catholic and foreign-born is neither justified by the past history or the future prospects of the country, nor in unison with the spirit of toleration and enlarged freedom which peculiarly distinguishes the American system of popular government. Resolved, That we reiterate with renewed energy of purpose the well considered declarations of former Conventions upon the sectional issue of Domestic slavery, and concerning the reserved rights of the States. 1. That Congress has no power under the Constitution, to interfere with or control the domestic institutions of the several States, and that such States are the sole and proper judges of everything appertaining to their own affairs, not prohibited by the Constitution; that all efforts of the abolitionists, or others, made to induce Congress to interfere with questions of slavery, or to take incipient steps in relation thereto, are calculated to lead to the most alarming and dangerous consequences; and that all such efforts have an inevitable tendency to diminish the happiness of the people and endanger the stability and permanency of the Union, and ought not to be countenanced by any friend of our political institutions. 2. That the foregoing proposition covers, and was intended to embrace the whole subject of slavery agitation in Congress; and therefore, the Democratic party of the Union, standing on this national platform, will abide by and adhere to a faithful execution of the acts known as the compromise measures, settled by the Congress of 1850; ""the act for reclaiming fugitives from service or labor,"" included; which act being designed to carry out an express provision of the Constitution, cannot, with fidelity thereto, be repealed, or so changed as to destroy or impair its efficiency. 3. That the Democratic party will resist all attempts at renewing, in Congress or out of it, the agitation of the slavery question under whatever shape or color the attempt may be made. 4. That the Democratic party will faithfully abide by and uphold, the principles laid down in the Kentucky and Virginia resolutions of 1798, and in the report of Mr. Madison to the Virginia Legislature in 1799; that it adopts those principles as constituting one of the main foundations of its political creed, and is resolved to carry them out in their obvious meaning and import. And that we may more distinctly meet the issue on which a sectional party, subsisting exclusively on slavery agitation, now relies to test the fidelity of the people, North and South, to the Constitution and the Union— 1. Resolved, That claiming fellowship with, and desiring the co-operation of all who regard the preservation of the Union under the Constitution as the paramount issue—and repudiating all sectional parties and platforms concerning domestic slavery, which seek to embroil the States and incite to treason and armed resistance to law in the Territories; and whose avowed purposes, if consummated, must end in civil war and disunion, the American Democracy recognize and adopt the principles contained in the organic laws establishing the Territories of Kansas and Nebraska as embodying the only sound and safe solution of the ""slavery question"" upon which the great national idea of the people of this whole country can repose in its determined conservatism of the Union—NON-INTERFERENCE BY CONGRESS WITH SLAVERY IN STATE AND TERRITORY, OR IN THE DISTRICT OF COLUMBIA. 2. That this was the basis of the compromises of 1850 confirmed by both the Democratic and Whig parties in national Conventions—ratified by the people in the election of 1852, and rightly applied to the organization of Territories in 1854. 3. That by the uniform application of this Democratic principle to the organization of territories, and to the admission of new States, with or without domestic slavery, as they may elect—the equal rights, of all the States will be preserved intact; the original compacts of the Constitution maintained inviolate; and the perpetuity and expansion of this Union insured to its utmost capacity of embracing, in peace and harmony, every future American State that may be constituted or annexed, with a republican form of government. Resolved, That we recognize the right of the people of all the Territories, including Kansas and Nebraska, acting through the legally and fairly expressed will of a majority of actual residents, and whenever the number of their inhabitants justifies it, to form a Constitution, with or without domestic slavery, and be admitted into the Union upon terms of perfect equality with the other States. Resolved, Finally, That in view of the condition of popular institutions in the Old World (and the dangerous tendencies of sectional agitation, combined with the attempt to enforce civil and religious disabilities against the rights of acquiring and enjoying citizenship, in our own land) a high and sacred duty is devolved with increased responsibility upon the Democratic party of this country, as the party of the Union, to uphold and maintain the rights of every State, and thereby the Union of the States; and to sustain and advance among us constitutional liberty, by continuing to resist all monopolies and exclusive legislation for the benefit of the few, at the expense of the many, and by a vigilant and constant adherence to those principles and compromises of the Constitution, which are broad enough and strong enough to embrace and uphold the Union as it was, the Union as it is, and the Union as it shall be, in the full expansion of the energies and capacity of this great and progressive people. 1. Resolved, That there are questions connected with the foreign policy of this country, which are inferior to no domestic question whatever. The time has come for the people of the United States to declare themselves in favor of free seas and progressive free trade throughout the world, and, by solemn manifestations, to place their moral influence at the side of their successful example. 2. Resolved, That our geographical and political position with reference to the other States of this continent, no less than the interest of our commerce and the development of our growing power, requires that we should hold as sacred the principles involved in the Monroe Doctrine: their bearing and import admit of no misconstruction; they should be applied with unbending rigidity. 3. Resolved, That the great highway which nature, as well as the assent of the States most immediately interested in its maintenance, has marked out for a free communication between the Atlantic and the Pacific oceans, constitutes one of the most important achievements realized by the spirit of modern times and the unconquerable energy of our people. That result should be secured by a timely and efficient exertion of the control which we have the right to claim over it, and no power on earth should be suffered to impede or clog its progress by any interference with the relations it may suit our policy to establish between our government and the Governments of the States within whose dominions it lies. We can, under no circumstances, surrender our preponderance in the adjustment of all questions arising out of it. 4. Resolved, That, in view of so commanding an interest, the people of the United States cannot but sympathize with the efforts which are being made by the people of Central America to regenerate that portion of the continent which covers the passage across the Interoceanic Isthmus. 5. Resolved, That the Democratic party will expect of the next Administration that every proper effort be made to insure our ascendency in the Gulf of Mexico, and to maintain a permanent protection to the great outlets through which are emptied into its waters the products raised out of the soil and the commodities created by the industry of the people of our Western valleys and the Union at large. Resolved, That the Democratic party recognizes the great importance, in a political and commercial point of view, of a safe and speedy communication, by military and postal roads, through our own territory, between the Atlantic and Pacific coasts of this Union, and that it is the duty of the Federal Government to exercise promptly all its constitutional power to the attainment of that object, thereby binding the Union of these States in indissoluble bonds, and opening to the rich commerce of Asia an overland transit from the Pacific to the Mississippi River, and the great lakes of the North. Resolved, That the administration of Franklin Pierce has been true to the great interests of the country. In the face of the most determined opposition it has maintained the laws, enforced economy, fostered progress, and infused integrity and vigor into every department of the government at home. It has signally improved our treaty relations, extended the field of commercial enterprise, and vindicated the rights of American citizens abroad. It has asserted with eminent impartiality the just claims of every section, and has at all times been faithful to the Constitution. We therefore proclaim our unqualified approbation of its measures and its policy."
1860-Democratic-Stephen-Douglas,1860,"1. Resolved, That we, the Democracy of the Union in Convention assembled, hereby declare our affirmance of the resolutions unanimously adopted and declared as a platform of principles by the Democratic Convention at Cincinnati, in the year 1856, believing that Democratic principles are unchangeable in their nature, when applied to the same subject matters; and we recommend, as the only further resolutions, the following: 2. Inasmuch as difference of opinion exists in the Democratic party as to the nature and extent of the powers of a Territorial Legislature, and as to the powers and duties of Congress, under the Constitution of the United States, over the institution of slavery within the Territories, Resolved, That the Democratic party will abide by the decision of the Supreme Court of the United States upon these questions of Constitutional law. 3. Resolved, That it is the duty of the United States to afford ample and complete protection to all its citizens, whether at home or abroad, and whether native or foreign born. 4. Resolved, That one of the necessities of the age, in a military, commercial, and postal point of view, is speedy communication between the Atlantic and Pacific States; and the Democratic party pledge such Constitutional Government aid as will insure the construction of a Railroad to the Pacific coast, at the earliest practicable period. 5. Resolved, That the Democratic party are in favor of the acquisition of the Island of Cuba on such terms as shall be honorable to ourselves and just to Spain. 6. Resolved, That the enactments of the State Legislatures to defeat the faithful execution of the Fugitive Slave Law, are hostile in character, subversive of the Constitution, and revolutionary in their effect. 7. Resolved, That it is in accordance with the interpretation of the Cincinnati platform, that during the existence of the Territorial Governments the measure of restriction, whatever it may be, imposed by the Federal Constitution on the power of the Territorial Legislature over the subject of the domestic relations, as the same has been, or shall hereafter be finally determined by the Supreme Court of the United States, should be respected by all good citizens, and enforced with promptness and fidelity by every branch of the general government."
