0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1900-Democratic-William-Jennings-Bryan,0.065483235,0.001183432,0.029191321,0.1270217,0.0055226824,0,0.020118343,0,0.0071005917,0.013412229,0.056410256,0,0.0023668639,0.13609467,0.0059171598
1900-Republican-William-McKinley,0.0795053,0.0066254417,0.015017668,0.15989399,0.0044169611,0,0.032243816,0,0,0.017667845,0.083480565,0,0,0.061837456,0
1904-Democratic-Alton-B-Parker,0.065029861,0.0066357001,0.02853351,0.14432648,0.000331785,0,0.02123424,0.00398142,0.00331785,0.0076310551,0.070006636,0,0.00066357001,0.12475116,0
1904-Republican-Theodore-Roosevelt,0.081641858,0.01172756,0.02165088,0.17681552,0,0,0.0180424,0,0,0.01217862,0.083897158,0.00045105999,0,0.059990979,0.00135318
1908-Democratic-William-Jennings-Bryan,0.059419311,0,0.018230925,0.13391852,0.0033760972,0,0.0081026334,0,0,0.011253657,0.067972091,0,0,0.15124916,0.011253657
1908-Republican-William-Howard-Taft,0.071676587,0,0.01140873,0.16914683,0,0.001984127,0.029017857,0.00024801587,0,0.0064484127,0.082837302,0.013392857,0,0.085813492,0.0054563492
1912-Democratic-Woodrow-Wilson,0.064586042,0.00086692674,0.024057217,0.12895535,0,0.0023840485,0.011053316,0,0.0043346337,0.0036844387,0.070004335,0,0,0.15409623,0.0080190724
1912-Republican-William-Howard-Taft,0.065269461,0.0068862275,0.026347305,0.14371257,0.0002994012,0,0.022155689,0,0,0,0.093113772,0.0077844311,0,0.094610778,0.0038922156
1916-Democratic-Woodrow-Wilson,0.066607262,0.0042325685,0.03920695,0.12742259,0.00066830029,0,0.033415014,0,0,0.0073513032,0.11450212,0.00022276676,0,0.064825128,0.0024504344
1916-Republican-Charles-E-Hughes,0.063247863,0.010683761,0.032051282,0.15598291,0,0.0021367521,0.021794872,0.0012820513,0,0.011965812,0.073931624,0,0,0.082905983,0.0034188034
1920-Democratic-James-M-Cox,0.058595989,0.0021489971,0.02034384,0.13638968,0.00028653295,0.0025787966,0.036246418,0.0025787966,0.0088825215,0.024212034,0.098710602,0.0064469914,0.0011461318,0.07965616,0.013896848
1920-Republican-Warren-G-Harding,0.044096501,0.00015976993,0.033871225,0.12238377,0.00031953986,0.0044735581,0.031953986,0,0.004633328,0.010704585,0.11343665,0.015497683,0.00031953986,0.10193322,0.012142515
1924-Democratic-John-W-Davis,0.041746725,0.0019213974,0.030043668,0.14323144,0.0068122271,0.0012227074,0.017641921,0,0.0040174672,0.011877729,0.088034934,0.010655022,0,0.11458515,0.013100437
1924-Republican-Calvin-Coolidge,0.072969792,0.0031384857,0.019811691,0.11690859,0,0.00019615536,0.032757944,0,0,0.012357787,0.12710867,0.013730875,0.003334641,0.067085131,0.017850137
1928-Democratic-Alfred-E-Smith,0.053082816,0.0058372857,0.018788763,0.12933236,0.0041955491,0,0.024990879,0.00018241518,0.0071141919,0.0056548705,0.10032835,0.023713973,0,0.11747537,0.0049252098
1928-Republican-Herbert-Hoover,0.06929873,0.00055218112,0.01987852,0.096631695,0,0.0016565433,0.029955826,0.0012424075,0.0020706792,0.016427388,0.11940917,0.025952512,0.0044174489,0.072335726,0.01256212
1932-Democratic-Franklin-D-Roosevelt,0.062927497,0,0.035567715,0.12243502,0.0013679891,0.00068399453,0.050615595,0,0.023939808,0.0061559508,0.1121751,0.0082079343,0,0.099179207,0.012995896
1932-Republican-Herbert-Hoover,0.055664702,0.0047151277,0.021741978,0.102685,0.00013097577,0.00013097577,0.036018337,0,0.00091683039,0.018336608,0.1194499,0.028421742,0.00026195154,0.080026195,0.015717092
1936-Democratic-Franklin-D-Roosevelt,0.053357048,0.011560694,0.011560694,0.079590929,0.016451756,0,0.076033793,0,0,0.013339262,0.068474878,0.070253446,0,0.064917741,0.016007114
1936-Republican-Alfred-M-Landon,0.057568574,0,0.034879783,0.077548256,0,0,0.06637318,0,0.022011514,0.0030477481,0.078564172,0.036234338,0,0.09955977,0.024720623
1940-Democratic-Franklin-D-Roosevelt,0.056681927,0.016786571,0.028340964,0.082842817,0.014388489,0.00021800741,0.096577284,0.00021800741,0,0.01853063,0.057771964,0.077392631,0,0.03204709,0.022890778
