Topic,TokenCount,Words
0,28263,"people system government made interests country high interest work make"
1,24141,"children years democrats work make families communities schools education public"
2,21168,"rights international economy power political health reduce millions human restore"
3,16596,"republican party favor democratic administration labor congress service war country"
4,15478,"democratic party administration economic security policies military provide workers rights"
5,7112,"clinton bill president party republican gore efforts today's act century"
6,23070,"world nations peace free economic freedom security farm defense sound"
7,18042,"support trade national reform care future environmental ensure call access"
8,16755,"republican republicans administration states tax government federal united congress military"
9,19252,"president opportunity leadership year states world war history million private"
10,29746,"states federal government policy united public foreign development nation time"
11,21728,"program pledge national administration benefits housing continue provide increased research"
12,25988,"economic energy policy soviet nuclear u.s women growth reagan foreign"
13,20603,"national law legislation government state laws control end public citizens"
14,33976,"programs federal support development education areas including resources efforts health"
