Topic,TokenCount,Words
0,29109,"program economic billion programs increase security major budget year act"
1,11889,"years work make children people country support child century welfare"
2,27113,"nations years time world citizens labor private future long effort"
3,15232,"people good peace great states life land service individual national"
4,6629,"islands powers chinese military united states number china held july"
5,13495,"men man law business labor public laws conditions interstate corporations"
6,9955,"year war dollars expenditures fiscal million total production recommended states"
7,17973,"states united department foreign government system state canal army officers"
8,26305,"public service made large law national construction authority conditions general"
9,19000,"year congress health reform work world american education act strong"
10,11712,"war free world freedom nations peace forces military strength defense"
11,18264,"great work legislation commerce provided act conference cases money matter"
12,19051,"world people nation congress national government american united states life"
13,19107,"country time made present action power effective place supply experience"
14,10435,"nuclear soviet energy oil u.s rights human countries regulatory strategic"
15,12828,"federal programs local government state years percent community congress american"
16,16360,"congress government law commission court year report trade order relations"
17,22298,"administration legislation policy development federal energy international states efforts united"
18,8389,"year democracy common give americans nations fight american attack force"
19,13146,"america tonight time americans budget american tax care families family"
20,14860,"american war make government part international purpose interest consideration capital"
21,16491,"peace hope america opportunity part progress ahead fact forward air"
22,12749,"make spirit seek trade nation faith great clear men set"
23,9708,"united republic lands secure attention territory district line question railroad"
24,22821,"government federal congress system agriculture national economic business reduction responsibility"
